antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"[""Dr. No""]","[""Almost Famous""]",0.0050933786078098476,0.004244482173174873,0.003395585738539898,0.6666666666666666,157.06666666666666,1.0,0.003373966983837819,2.987266553480475,0.9987201365187713,0.5714285714285713,0.6652458084683148,0.7333333333333333,['Dr. No'],['Almost Famous']
"[""Almost Famous""]","[""Skyfall""]",0.004244482173174873,0.006791171477079796,0.003395585738539898,0.7999999999999999,117.8,1.0,0.003366760732270459,4.966044142614599,0.9957374254049445,0.4444444444444444,0.7986324786324785,0.6499999999999999,['Almost Famous'],['Skyfall']
"[""Skyfall""]","[""Almost Famous""]",0.006791171477079796,0.004244482173174873,0.003395585738539898,0.5,117.8,1.0,0.003366760732270459,1.9915110356536503,0.9982905982905982,0.4444444444444444,0.4978687127024723,0.6499999999999999,['Skyfall'],['Almost Famous']
"[""Almost Famous"",""Skyfall""]","[""Dr. No""]",0.003395585738539898,0.0050933786078098476,0.003395585738539898,1.0,196.33333333333331,1.0,0.0033782907347782347,inf,0.9982964224872232,0.6666666666666666,1.0,0.8333333333333333,"['Almost Famous', 'Skyfall']",['Dr. No']
"[""Almost Famous"",""Dr. No""]","[""Skyfall""]",0.003395585738539898,0.006791171477079796,0.003395585738539898,1.0,147.25,1.0,0.003372525733524347,inf,0.9965928449744464,0.5000000000000001,1.0,0.75,"['Almost Famous', 'Dr. No']",['Skyfall']
"[""Skyfall"",""Dr. No""]","[""Almost Famous""]",0.004244482173174873,0.004244482173174873,0.003395585738539898,0.7999999999999999,188.48,1.0,0.003377570109621499,4.978777589134124,0.9989343563512362,0.6666666666666666,0.7991474850809889,0.7999999999999999,"['Skyfall', 'Dr. No']",['Almost Famous']
"[""Almost Famous""]","[""Skyfall"",""Dr. No""]",0.004244482173174873,0.004244482173174873,0.003395585738539898,0.7999999999999999,188.48,1.0,0.003377570109621499,4.978777589134124,0.9989343563512362,0.6666666666666666,0.7991474850809889,0.7999999999999999,['Almost Famous'],"['Skyfall', 'Dr. No']"
"[""Skyfall""]","[""Almost Famous"",""Dr. No""]",0.006791171477079796,0.003395585738539898,0.003395585738539898,0.5,147.25,1.0,0.003372525733524347,1.9932088285229201,1.0,0.5000000000000001,0.4982964224872232,0.75,['Skyfall'],"['Almost Famous', 'Dr. No']"
"[""Dr. No""]","[""Almost Famous"",""Skyfall""]",0.0050933786078098476,0.003395585738539898,0.003395585738539898,0.6666666666666666,196.33333333333331,1.0,0.0033782907347782347,2.98981324278438,1.0,0.6666666666666666,0.6655309483248154,0.8333333333333333,['Dr. No'],"['Almost Famous', 'Skyfall']"
"[""Nobody""]","[""The Northman""]",0.0050933786078098476,0.004244482173174873,0.003395585738539898,0.6666666666666666,157.06666666666666,1.0,0.003373966983837819,2.987266553480475,0.9987201365187713,0.5714285714285713,0.6652458084683148,0.7333333333333333,['Nobody'],['The Northman']
"[""The Northman""]","[""Nobody""]",0.004244482173174873,0.0050933786078098476,0.003395585738539898,0.7999999999999999,157.06666666666663,1.0,0.003373966983837819,4.974533106960949,0.9978687127024722,0.5714285714285713,0.7989761092150169,0.7333333333333333,['The Northman'],['Nobody']
"[""The Northman""]","[""Everything Everywhere All at Once""]",0.004244482173174873,0.008488964346349746,0.003395585738539898,0.7999999999999999,94.24,1.0,0.0033595544807030996,4.95755517826825,0.9936061381074168,0.3636363636363636,0.7982876712328767,0.6,['The Northman'],['Everything Everywhere All at Once']
"[""Everything Everywhere All at Once""]","[""The Northman""]",0.008488964346349746,0.004244482173174873,0.003395585738539898,0.39999999999999997,94.24,1.0,0.0033595544807030996,1.659592529711375,0.9978595890410958,0.3636363636363636,0.39744245524296673,0.6,['Everything Everywhere All at Once'],['The Northman']
"[""Nobody"",""The Northman""]","[""Everything Everywhere All at Once""]",0.003395585738539898,0.008488964346349746,0.003395585738539898,1.0,117.8,1.0,0.003366760732270459,inf,0.9948892674616695,0.39999999999999997,1.0,0.7,"['Nobody', 'The Northman']",['Everything Everywhere All at Once']
"[""Nobody"",""Everything Everywhere All at Once""]","[""The Northman""]",0.003395585738539898,0.004244482173174873,0.003395585738539898,1.0,235.6,1.0,0.0033811732354051788,inf,0.9991482112436116,0.7999999999999999,1.0,0.8999999999999999,"['Nobody', 'Everything Everywhere All at Once']",['The Northman']
"[""The Northman"",""Everything Everywhere All at Once""]","[""Nobody""]",0.003395585738539898,0.0050933786078098476,0.003395585738539898,1.0,196.33333333333331,1.0,0.0033782907347782347,inf,0.9982964224872232,0.6666666666666666,1.0,0.8333333333333333,"['The Northman', 'Everything Everywhere All at Once']",['Nobody']
"[""Nobody""]","[""The Northman"",""Everything Everywhere All at Once""]",0.0050933786078098476,0.003395585738539898,0.003395585738539898,0.6666666666666666,196.33333333333331,1.0,0.0033782907347782347,2.98981324278438,1.0,0.6666666666666666,0.6655309483248154,0.8333333333333333,['Nobody'],"['The Northman', 'Everything Everywhere All at Once']"
"[""The Northman""]","[""Nobody"",""Everything Everywhere All at Once""]",0.004244482173174873,0.003395585738539898,0.003395585738539898,0.7999999999999999,235.6,1.0,0.0033811732354051788,4.983022071307299,1.0,0.7999999999999999,0.7993185689948892,0.8999999999999999,['The Northman'],"['Nobody', 'Everything Everywhere All at Once']"
"[""Everything Everywhere All at Once""]","[""Nobody"",""The Northman""]",0.008488964346349746,0.003395585738539898,0.003395585738539898,0.39999999999999997,117.8,1.0,0.003366760732270459,1.6610073571024333,0.9999999999999999,0.39999999999999997,0.3979557069846678,0.7,['Everything Everywhere All at Once'],"['Nobody', 'The Northman']"
"[""Sinners""]","[""Wicked""]",0.011035653650254669,0.005942275042444821,0.004244482173174873,0.38461538461538464,64.72527472527473,1.0,0.004178905283911899,1.615343803056027,0.9955364806866953,0.3333333333333333,0.3809367404585167,0.5494505494505495,['Sinners'],['Wicked']
"[""Wicked""]","[""Sinners""]",0.005942275042444821,0.011035653650254669,0.004244482173174873,0.7142857142857143,64.72527472527473,1.0,0.004178905283911899,3.461375212224109,0.9904355251921434,0.3333333333333333,0.7110974862047823,0.5494505494505495,['Wicked'],['Sinners']
"[""Edge of Tomorrow""]","[""Aliens""]",0.006791171477079796,0.00933786078098472,0.003395585738539898,0.5,53.54545454545455,1.0,0.0033321707247471327,1.9813242784380305,0.9880341880341881,0.26666666666666666,0.4952870608397601,0.4318181818181818,['Edge of Tomorrow'],['Aliens']
"[""Aliens""]","[""Edge of Tomorrow""]",0.00933786078098472,0.006791171477079796,0.003395585738539898,0.36363636363636365,53.54545454545455,1.0,0.0033321707247471327,1.5607567305360175,0.9905741216795202,0.26666666666666666,0.35928515928515925,0.4318181818181818,['Aliens'],['Edge of Tomorrow']
"[""Edge of Tomorrow""]","[""Captain America: The Winter Soldier""]",0.006791171477079796,0.005942275042444821,0.003395585738539898,0.5,84.14285714285715,1.0,0.0033552307297626837,1.9881154499151104,0.9948717948717949,0.3636363636363637,0.49701110162254486,0.5357142857142857,['Edge of Tomorrow'],['Captain America: The Winter Soldier']
"[""Captain America: The Winter Soldier""]","[""Edge of Tomorrow""]",0.005942275042444821,0.006791171477079796,0.003395585738539898,0.5714285714285714,84.14285714285714,1.0,0.0033552307297626837,2.3174872665534805,0.9940222032450897,0.3636363636363637,0.5684981684981685,0.5357142857142857,['Captain America: The Winter Soldier'],['Edge of Tomorrow']
"[""Skyfall""]","[""Captain America: The Winter Soldier""]",0.006791171477079796,0.005942275042444821,0.003395585738539898,0.5,84.14285714285715,1.0,0.0033552307297626837,1.9881154499151104,0.9948717948717949,0.3636363636363637,0.49701110162254486,0.5357142857142857,['Skyfall'],['Captain America: The Winter Soldier']
"[""Captain America: The Winter Soldier""]","[""Skyfall""]",0.005942275042444821,0.006791171477079796,0.003395585738539898,0.5714285714285714,84.14285714285714,1.0,0.0033552307297626837,2.3174872665534805,0.9940222032450897,0.3636363636363637,0.5684981684981685,0.5357142857142857,['Captain America: The Winter Soldier'],['Skyfall']
"[""Spider-Man: No Way Home""]","[""Captain America: The Winter Soldier""]",0.006791171477079796,0.005942275042444821,0.003395585738539898,0.5,84.14285714285715,1.0,0.0033552307297626837,1.9881154499151104,0.9948717948717949,0.3636363636363637,0.49701110162254486,0.5357142857142857,['Spider-Man: No Way Home'],['Captain America: The Winter Soldier']
"[""Captain America: The Winter Soldier""]","[""Spider-Man: No Way Home""]",0.005942275042444821,0.006791171477079796,0.003395585738539898,0.5714285714285714,84.14285714285714,1.0,0.0033552307297626837,2.3174872665534805,0.9940222032450897,0.3636363636363637,0.5684981684981685,0.5357142857142857,['Captain America: The Winter Soldier'],['Spider-Man: No Way Home']
"[""Mission: Impossible - Dead Reckoning Part One""]","[""Captain America: The Winter Soldier""]",0.008488964346349746,0.005942275042444821,0.003395585738539898,0.39999999999999997,67.31428571428572,1.0,0.0033451419775683802,1.6567628749292584,0.9935787671232876,0.3076923076923077,0.39641332194705375,0.48571428571428565,['Mission: Impossible - Dead Reckoning Part One'],['Captain America: The Winter Soldier']
"[""Captain America: The Winter Soldier""]","[""Mission: Impossible - Dead Reckoning Part One""]",0.005942275042444821,0.008488964346349746,0.003395585738539898,0.5714285714285714,67.3142857142857,1.0,0.0033451419775683802,2.3135257498585173,0.9910333048676346,0.3076923076923077,0.5677592954990215,0.48571428571428565,['Captain America: The Winter Soldier'],['Mission: Impossible - Dead Reckoning Part One']
"[""The Batman""]","[""Captain America: The Winter Soldier""]",0.008488964346349746,0.005942275042444821,0.003395585738539898,0.39999999999999997,67.31428571428572,1.0,0.0033451419775683802,1.6567628749292584,0.9935787671232876,0.3076923076923077,0.39641332194705375,0.48571428571428565,['The Batman'],['Captain America: The Winter Soldier']
"[""Captain America: The Winter Soldier""]","[""The Batman""]",0.005942275042444821,0.008488964346349746,0.003395585738539898,0.5714285714285714,67.3142857142857,1.0,0.0033451419775683802,2.3135257498585173,0.9910333048676346,0.3076923076923077,0.5677592954990215,0.48571428571428565,['Captain America: The Winter Soldier'],['The Batman']
"[""Top Gun: Maverick""]","[""Captain America: The Winter Soldier""]",0.00933786078098472,0.005942275042444821,0.003395585738539898,0.36363636363636365,61.1948051948052,1.0,0.003340097601471228,1.5620907106475868,0.99293059125964,0.28571428571428575,0.35983231115596614,0.4675324675324675,['Top Gun: Maverick'],['Captain America: The Winter Soldier']
"[""Captain America: The Winter Soldier""]","[""Top Gun: Maverick""]",0.005942275042444821,0.00933786078098472,0.003395585738539898,0.5714285714285714,61.19480519480519,1.0,0.003340097601471228,2.3115449915110355,0.9895388556789069,0.28571428571428575,0.5673889092912229,0.4675324675324675,['Captain America: The Winter Soldier'],['Top Gun: Maverick']
"[""Spider-Man: No Way Home"",""Mission: Impossible - Dead Reckoning Part One""]","[""Captain America: The Winter Soldier""]",0.003395585738539898,0.005942275042444821,0.003395585738539898,1.0,168.2857142857143,1.0,0.0033754082341512907,inf,0.9974446337308347,0.5714285714285714,1.0,0.7857142857142857,"['Spider-Man: No Way Home', 'Mission: Impossible - Dead Reckoning Part One']",['Captain America: The Winter Soldier']
"[""Captain America: The Winter Soldier"",""Mission: Impossible - Dead Reckoning Part One""]","[""Spider-Man: No Way Home""]",0.003395585738539898,0.006791171477079796,0.003395585738539898,1.0,147.25,1.0,0.003372525733524347,inf,0.9965928449744464,0.5000000000000001,1.0,0.75,"['Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']",['Spider-Man: No Way Home']
"[""Spider-Man: No Way Home"",""Captain America: The Winter Soldier""]","[""Mission: Impossible - Dead Reckoning Part One""]",0.003395585738539898,0.008488964346349746,0.003395585738539898,1.0,117.8,1.0,0.003366760732270459,inf,0.9948892674616695,0.39999999999999997,1.0,0.7,"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier']",['Mission: Impossible - Dead Reckoning Part One']
"[""Mission: Impossible - Dead Reckoning Part One""]","[""Spider-Man: No Way Home"",""Captain America: The Winter Soldier""]",0.008488964346349746,0.003395585738539898,0.003395585738539898,0.39999999999999997,117.8,1.0,0.003366760732270459,1.6610073571024333,0.9999999999999999,0.39999999999999997,0.3979557069846678,0.7,['Mission: Impossible - Dead Reckoning Part One'],"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier']"
"[""Spider-Man: No Way Home""]","[""Captain America: The Winter Soldier"",""Mission: Impossible - Dead Reckoning Part One""]",0.006791171477079796,0.003395585738539898,0.003395585738539898,0.5,147.25,1.0,0.003372525733524347,1.9932088285229201,1.0,0.5000000000000001,0.4982964224872232,0.75,['Spider-Man: No Way Home'],"['Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']"
"[""Captain America: The Winter Soldier""]","[""Spider-Man: No Way Home"",""Mission: Impossible - Dead Reckoning Part One""]",0.005942275042444821,0.003395585738539898,0.003395585738539898,0.5714285714285714,168.28571428571428,1.0,0.0033754082341512907,2.3254102999434068,1.0,0.5714285714285714,0.5699683621319055,0.7857142857142857,['Captain America: The Winter Soldier'],"['Spider-Man: No Way Home', 'Mission: Impossible - Dead Reckoning Part One']"
"[""The Batman"",""Mission: Impossible - Dead Reckoning Part One""]","[""Captain America: The Winter Soldier""]",0.003395585738539898,0.005942275042444821,0.003395585738539898,1.0,168.2857142857143,1.0,0.0033754082341512907,inf,0.9974446337308347,0.5714285714285714,1.0,0.7857142857142857,"['The Batman', 'Mission: Impossible - Dead Reckoning Part One']",['Captain America: The Winter Soldier']
"[""Captain America: The Winter Soldier"",""Mission: Impossible - Dead Reckoning Part One""]","[""The Batman""]",0.003395585738539898,0.008488964346349746,0.003395585738539898,1.0,117.8,1.0,0.003366760732270459,inf,0.9948892674616695,0.39999999999999997,1.0,0.7,"['Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']",['The Batman']
"[""The Batman"",""Captain America: The Winter Soldier""]","[""Mission: Impossible - Dead Reckoning Part One""]",0.003395585738539898,0.008488964346349746,0.003395585738539898,1.0,117.8,1.0,0.003366760732270459,inf,0.9948892674616695,0.39999999999999997,1.0,0.7,"['The Batman', 'Captain America: The Winter Soldier']",['Mission: Impossible - Dead Reckoning Part One']
"[""Mission: Impossible - Dead Reckoning Part One""]","[""The Batman"",""Captain America: The Winter Soldier""]",0.008488964346349746,0.003395585738539898,0.003395585738539898,0.39999999999999997,117.8,1.0,0.003366760732270459,1.6610073571024333,0.9999999999999999,0.39999999999999997,0.3979557069846678,0.7,['Mission: Impossible - Dead Reckoning Part One'],"['The Batman', 'Captain America: The Winter Soldier']"
"[""The Batman""]","[""Captain America: The Winter Soldier"",""Mission: Impossible - Dead Reckoning Part One""]",0.008488964346349746,0.003395585738539898,0.003395585738539898,0.39999999999999997,117.8,1.0,0.003366760732270459,1.6610073571024333,0.9999999999999999,0.39999999999999997,0.3979557069846678,0.7,['The Batman'],"['Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']"
"[""Captain America: The Winter Soldier""]","[""The Batman"",""Mission: Impossible - Dead Reckoning Part One""]",0.005942275042444821,0.003395585738539898,0.003395585738539898,0.5714285714285714,168.28571428571428,1.0,0.0033754082341512907,2.3254102999434068,1.0,0.5714285714285714,0.5699683621319055,0.7857142857142857,['Captain America: The Winter Soldier'],"['The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
"[""Spider-Man: No Way Home"",""The Batman""]","[""Captain America: The Winter Soldier""]",0.004244482173174873,0.005942275042444821,0.003395585738539898,0.7999999999999999,134.62857142857143,1.0,0.003370363858054139,4.9702886247877744,0.9968030690537084,0.5000000000000001,0.7988044406490179,0.6857142857142857,"['Spider-Man: No Way Home', 'The Batman']",['Captain America: The Winter Soldier']
"[""Spider-Man: No Way Home"",""Captain America: The Winter Soldier""]","[""The Batman""]",0.003395585738539898,0.008488964346349746,0.003395585738539898,1.0,117.8,1.0,0.003366760732270459,inf,0.9948892674616695,0.39999999999999997,1.0,0.7,"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier']",['The Batman']
"[""The Batman"",""Captain America: The Winter Soldier""]","[""Spider-Man: No Way Home""]",0.003395585738539898,0.006791171477079796,0.003395585738539898,1.0,147.25,1.0,0.003372525733524347,inf,0.9965928449744464,0.5000000000000001,1.0,0.75,"['The Batman', 'Captain America: The Winter Soldier']",['Spider-Man: No Way Home']
"[""Spider-Man: No Way Home""]","[""The Batman"",""Captain America: The Winter Soldier""]",0.006791171477079796,0.003395585738539898,0.003395585738539898,0.5,147.25,1.0,0.003372525733524347,1.9932088285229201,1.0,0.5000000000000001,0.4982964224872232,0.75,['Spider-Man: No Way Home'],"['The Batman', 'Captain America: The Winter Soldier']"
"[""The Batman""]","[""Spider-Man: No Way Home"",""Captain America: The Winter Soldier""]",0.008488964346349746,0.003395585738539898,0.003395585738539898,0.39999999999999997,117.8,1.0,0.003366760732270459,1.6610073571024333,0.9999999999999999,0.39999999999999997,0.3979557069846678,0.7,['The Batman'],"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier']"
"[""Captain America: The Winter Soldier""]","[""Spider-Man: No Way Home"",""The Batman""]",0.005942275042444821,0.004244482173174873,0.003395585738539898,0.5714285714285714,134.6285714285714,1.0,0.003370363858054139,2.323429541595925,0.9985055508112725,0.5000000000000001,0.5696017537449762,0.6857142857142857,['Captain America: The Winter Soldier'],"['Spider-Man: No Way Home', 'The Batman']"
"[""Spider-Man: No Way Home"",""The Batman"",""Mission: Impossible - Dead Reckoning Part One""]","[""Captain America: The Winter Soldier""]",0.003395585738539898,0.005942275042444821,0.003395585738539898,1.0,168.2857142857143,1.0,0.0033754082341512907,inf,0.9974446337308347,0.5714285714285714,1.0,0.7857142857142857,"['Spider-Man: No Way Home', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']",['Captain America: The Winter Soldier']
"[""Spider-Man: No Way Home"",""Captain America: The Winter Soldier"",""Mission: Impossible - Dead Reckoning Part One""]","[""The Batman""]",0.003395585738539898,0.008488964346349746,0.003395585738539898,1.0,117.8,1.0,0.003366760732270459,inf,0.9948892674616695,0.39999999999999997,1.0,0.7,"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']",['The Batman']
"[""Captain America: The Winter Soldier"",""The Batman"",""Mission: Impossible - Dead Reckoning Part One""]","[""Spider-Man: No Way Home""]",0.003395585738539898,0.006791171477079796,0.003395585738539898,1.0,147.25,1.0,0.003372525733524347,inf,0.9965928449744464,0.5000000000000001,1.0,0.75,"['Captain America: The Winter Soldier', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']",['Spider-Man: No Way Home']
"[""Spider-Man: No Way Home"",""The Batman"",""Captain America: The Winter Soldier""]","[""Mission: Impossible - Dead Reckoning Part One""]",0.003395585738539898,0.008488964346349746,0.003395585738539898,1.0,117.8,1.0,0.003366760732270459,inf,0.9948892674616695,0.39999999999999997,1.0,0.7,"['Spider-Man: No Way Home', 'The Batman', 'Captain America: The Winter Soldier']",['Mission: Impossible - Dead Reckoning Part One']
"[""Spider-Man: No Way Home"",""Mission: Impossible - Dead Reckoning Part One""]","[""The Batman"",""Captain America: The Winter Soldier""]",0.003395585738539898,0.003395585738539898,0.003395585738539898,1.0,294.5,1.0,0.0033840557360321224,inf,1.0,1.0,1.0,1.0,"['Spider-Man: No Way Home', 'Mission: Impossible - Dead Reckoning Part One']","['The Batman', 'Captain America: The Winter Soldier']"
"[""The Batman"",""Mission: Impossible - Dead Reckoning Part One""]","[""Spider-Man: No Way Home"",""Captain America: The Winter Soldier""]",0.003395585738539898,0.003395585738539898,0.003395585738539898,1.0,294.5,1.0,0.0033840557360321224,inf,1.0,1.0,1.0,1.0,"['The Batman', 'Mission: Impossible - Dead Reckoning Part One']","['Spider-Man: No Way Home', 'Captain America: The Winter Soldier']"
"[""Captain America: The Winter Soldier"",""Mission: Impossible - Dead Reckoning Part One""]","[""Spider-Man: No Way Home"",""The Batman""]",0.003395585738539898,0.004244482173174873,0.003395585738539898,1.0,235.6,1.0,0.0033811732354051788,inf,0.9991482112436116,0.7999999999999999,1.0,0.8999999999999999,"['Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']","['Spider-Man: No Way Home', 'The Batman']"
"[""Spider-Man: No Way Home"",""The Batman""]","[""Captain America: The Winter Soldier"",""Mission: Impossible - Dead Reckoning Part One""]",0.004244482173174873,0.003395585738539898,0.003395585738539898,0.7999999999999999,235.6,1.0,0.0033811732354051788,4.983022071307299,1.0,0.7999999999999999,0.7993185689948892,0.8999999999999999,"['Spider-Man: No Way Home', 'The Batman']","['Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']"
"[""Spider-Man: No Way Home"",""Captain America: The Winter Soldier""]","[""The Batman"",""Mission: Impossible - Dead Reckoning Part One""]",0.003395585738539898,0.003395585738539898,0.003395585738539898,1.0,294.5,1.0,0.0033840557360321224,inf,1.0,1.0,1.0,1.0,"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier']","['The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
"[""The Batman"",""Captain America: The Winter Soldier""]","[""Spider-Man: No Way Home"",""Mission: Impossible - Dead Reckoning Part One""]",0.003395585738539898,0.003395585738539898,0.003395585738539898,1.0,294.5,1.0,0.0033840557360321224,inf,1.0,1.0,1.0,1.0,"['The Batman', 'Captain America: The Winter Soldier']","['Spider-Man: No Way Home', 'Mission: Impossible - Dead Reckoning Part One']"
"[""Mission: Impossible - Dead Reckoning Part One""]","[""Spider-Man: No Way Home"",""The Batman"",""Captain America: The Winter Soldier""]",0.008488964346349746,0.003395585738539898,0.003395585738539898,0.39999999999999997,117.8,1.0,0.003366760732270459,1.6610073571024333,0.9999999999999999,0.39999999999999997,0.3979557069846678,0.7,['Mission: Impossible - Dead Reckoning Part One'],"['Spider-Man: No Way Home', 'The Batman', 'Captain America: The Winter Soldier']"
"[""Spider-Man: No Way Home""]","[""Captain America: The Winter Soldier"",""The Batman"",""Mission: Impossible - Dead Reckoning Part One""]",0.006791171477079796,0.003395585738539898,0.003395585738539898,0.5,147.25,1.0,0.003372525733524347,1.9932088285229201,1.0,0.5000000000000001,0.4982964224872232,0.75,['Spider-Man: No Way Home'],"['Captain America: The Winter Soldier', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
"[""The Batman""]","[""Spider-Man: No Way Home"",""Captain America: The Winter Soldier"",""Mission: Impossible - Dead Reckoning Part One""]",0.008488964346349746,0.003395585738539898,0.003395585738539898,0.39999999999999997,117.8,1.0,0.003366760732270459,1.6610073571024333,0.9999999999999999,0.39999999999999997,0.3979557069846678,0.7,['The Batman'],"['Spider-Man: No Way Home', 'Captain America: The Winter Soldier', 'Mission: Impossible - Dead Reckoning Part One']"
"[""Captain America: The Winter Soldier""]","[""Spider-Man: No Way Home"",""The Batman"",""Mission: Impossible - Dead Reckoning Part One""]",0.005942275042444821,0.003395585738539898,0.003395585738539898,0.5714285714285714,168.28571428571428,1.0,0.0033754082341512907,2.3254102999434068,1.0,0.5714285714285714,0.5699683621319055,0.7857142857142857,['Captain America: The Winter Soldier'],"['Spider-Man: No Way Home', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
"[""Top Gun: Maverick"",""The Batman""]","[""Captain America: The Winter Soldier""]",0.004244482173174873,0.005942275042444821,0.003395585738539898,0.7999999999999999,134.62857142857143,1.0,0.003370363858054139,4.9702886247877744,0.9968030690537084,0.5000000000000001,0.7988044406490179,0.6857142857142857,"['Top Gun: Maverick', 'The Batman']",['Captain America: The Winter Soldier']
"[""Top Gun: Maverick"",""Captain America: The Winter Soldier""]","[""The Batman""]",0.003395585738539898,0.008488964346349746,0.003395585738539898,1.0,117.8,1.0,0.003366760732270459,inf,0.9948892674616695,0.39999999999999997,1.0,0.7,"['Top Gun: Maverick', 'Captain America: The Winter Soldier']",['The Batman']
